incident_severity,insured_hobbies,total_claim_amount,policy_annual_premium,age,insured_occupation,insured_relationship,umbrella_limit,collision_type,incident_type,fraud_reported
Minor Damage,biking,17077,687,62,teacher,other-relative,600000,Side Collision,Parked Car,0
Major Damage,skydiving,18425,1228,36,teacher,own-child,0,Front Collision,Single Vehicle Collision,0
Major Damage,board games,1689,915,66,teacher,other-relative,0,Rear Collision,Multi-vehicle Collision,0
Total Loss,biking,13676,773,49,manager,other-relative,1200000,Rear Collision,Parked Car,1
Minor Damage,board games,23054,1476,26,doctor,husband,0,Front Collision,Multi-vehicle Collision,0
Total Loss,skydiving,15293,1056,32,lawyer,unmarried,1200000,Side Collision,Multi-vehicle Collision,1
Major Damage,biking,17320,801,23,engineer,husband,600000,Front Collision,Multi-vehicle Collision,1
Major Damage,chess,20720,1005,49,manager,own-child,0,Rear Collision,Parked Car,1
Total Loss,skydiving,18232,681,27,teacher,other-relative,600000,Side Collision,Single Vehicle Collision,0
Minor Damage,chess,14515,726,60,teacher,wife,600000,Side Collision,Parked Car,0
Minor Damage,board games,13499,524,27,engineer,husband,0,Front Collision,Single Vehicle Collision,1
Major Damage,board games,6752,1168,62,doctor,wife,600000,Front Collision,Parked Car,1
Trivial Damage,cross-fit,19057,337,51,teacher,unmarried,1200000,Side Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,11483,892,41,teacher,husband,1200000,Side Collision,Parked Car,1
Trivial Damage,chess,8443,1013,43,engineer,wife,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,chess,15536,1137,61,lawyer,other-relative,0,Rear Collision,Parked Car,0
Minor Damage,reading,15978,648,25,manager,other-relative,0,Front Collision,Multi-vehicle Collision,1
Trivial Damage,cross-fit,14076,1166,59,lawyer,unmarried,0,Side Collision,Single Vehicle Collision,0
Total Loss,board games,21410,329,43,engineer,husband,1200000,Front Collision,Single Vehicle Collision,1
Minor Damage,reading,10651,1184,34,manager,unmarried,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,12459,1470,25,lawyer,unmarried,600000,Rear Collision,Parked Car,0
Trivial Damage,board games,13689,850,26,doctor,own-child,1200000,Side Collision,Single Vehicle Collision,0
Major Damage,chess,19962,577,63,engineer,own-child,0,Front Collision,Single Vehicle Collision,0
Minor Damage,biking,8158,759,61,manager,unmarried,1200000,Rear Collision,Single Vehicle Collision,0
Major Damage,board games,25017,999,21,doctor,wife,1200000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,board games,25039,602,58,engineer,own-child,0,Rear Collision,Single Vehicle Collision,0
Minor Damage,chess,11604,897,50,lawyer,other-relative,600000,Rear Collision,Parked Car,0
Major Damage,reading,19578,1327,24,manager,unmarried,600000,Rear Collision,Parked Car,0
Trivial Damage,biking,12871,716,48,engineer,unmarried,0,Front Collision,Parked Car,0
Major Damage,chess,12349,613,18,teacher,husband,600000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,reading,19180,1152,21,doctor,husband,600000,Rear Collision,Single Vehicle Collision,0
Minor Damage,board games,8384,906,51,manager,unmarried,0,Front Collision,Multi-vehicle Collision,0
Major Damage,chess,18278,916,43,doctor,husband,1200000,Side Collision,Parked Car,0
Major Damage,reading,24488,1118,51,manager,husband,0,Front Collision,Multi-vehicle Collision,1
Total Loss,chess,19191,142,63,manager,other-relative,600000,Front Collision,Multi-vehicle Collision,0
Minor Damage,reading,15025,906,36,manager,wife,0,Side Collision,Single Vehicle Collision,0
Minor Damage,board games,22227,925,26,teacher,unmarried,1200000,Front Collision,Parked Car,1
Minor Damage,skydiving,6598,658,23,lawyer,husband,1200000,Side Collision,Parked Car,0
Minor Damage,board games,10781,1169,19,engineer,wife,600000,Front Collision,Single Vehicle Collision,1
Major Damage,cross-fit,23730,1350,35,teacher,wife,1200000,Front Collision,Multi-vehicle Collision,1
Minor Damage,board games,14198,1481,63,lawyer,unmarried,1200000,Front Collision,Parked Car,0
