income,loan_amount,credit_score,term,employment_years,age,Class
60492,18685,704,60,15,28,0
49757,14585,682,60,12,37,0
68248,17461,745,24,6,41,0
13283,42673,510,12,18,24,1
26060,42362,515,60,10,32,1
38861,40613,435,60,18,18,1
11439,47262,480,48,11,25,1
62904,16711,687,36,5,35,0
68171,15452,746,60,18,38,0
62989,12213,687,24,15,38,0
55465,14035,701,48,8,38,0
12846,41836,538,60,0,18,1
22790,41357,495,60,2,28,1
10000,35847,500,12,13,32,1
65546,18690,626,48,18,19,0
66629,9984,737,48,9,42,0
10000,39748,492,48,8,29,1
69964,7756,642,12,12,40,0
60952,9745,709,12,16,29,0
23819,45482,565,24,8,18,1
14410,42860,548,36,12,35,1
71559,19100,732,24,9,28,0
19423,40409,405,60,9,28,1
17404,40866,450,24,8,25,1
50602,17303,721,24,9,23,0
39094,39277,468,36,16,27,1
62409,15338,786,36,15,41,0
13228,41435,528,24,1,34,1
71039,5109,687,24,12,29,0
13534,43625,576,48,9,23,1
71375,15038,695,36,5,44,0
38314,39451,496,60,18,26,1
78208,7348,731,48,6,33,0
71144,23570,683,60,16,43,0
61723,21527,784,36,4,32,0
68949,23718,710,48,9,28,0
64255,14626,722,36,2,38,0
64256,15244,638,48,5,31,0
64742,15637,665,36,6,33,0
65910,13983,692,60,16,25,0
54779,19861,639,12,5,40,0
49359,8322,653,12,11,36,0
17083,34401,501,24,7,28,1
33562,38593,516,12,8,25,1
29843,40035,451,60,13,19,1
71124,10596,621,36,0,30,0
60546,10628,735,48,4,26,0
73704,11952,748,36,8,18,0
57452,14090,652,12,18,30,0
62936,20663,785,36,4,33,0
56335,11406,607,12,11,36,0
76119,21199,677,60,13,29,0
50543,16820,676,60,13,43,0
55514,5111,705,12,19,22,0
18269,34551,424,36,4,20,1
59255,9562,632,12,9,32,0
18604,34051,544,60,12,32,1
17546,44203,495,60,8,28,1
61315,18630,644,48,2,28,0
64276,12531,748,36,5,43,0
61278,21844,700,48,17,39,0
56815,15018,652,24,19,39,0
59890,16841,686,36,5,39,0
64106,11033,697,24,10,27,0
10000,35202,557,12,16,21,1
59711,8734,620,36,15,29,0
31917,22258,740,24,6,44,0
65214,9668,701,36,3,31,0
60701,10194,754,60,2,38,0
77927,11641,609,48,3,18,0
63862,18698,711,60,10,24,0
11915,42144,490,12,19,34,1
10000,44040,562,36,15,19,1
28995,38404,583,24,17,18,1
29246,44840,498,12,7,35,1
75628,5197,772,60,19,33,0
19032,43022,434,36,18,32,1
51926,17270,716,36,19,28,0
45790,10215,679,60,13,30,0
56212,13464,717,48,5,37,0
79107,12653,739,48,18,30,0
54228,17665,676,12,8,29,0
59113,4377,721,60,5,33,0
55702,8846,659,36,4,46,0
52540,8992,649,12,15,40,0
41650,43789,375,12,9,35,1
19039,34644,541,48,19,27,1
20592,36918,518,60,11,20,1
57858,9292,747,48,7,27,0
60968,14499,605,24,5,37,0
56030,14213,776,48,17,53,0
14694,39025,477,24,12,39,1
24738,46587,505,60,4,18,1
19011,35757,423,60,8,23,1
18096,35590,497,12,12,22,1
46088,13343,718,60,7,36,0
68252,13055,669,36,14,39,0
62256,11492,677,48,2,38,0
29592,43898,590,60,3,28,1
10000,35948,487,48,12,18,1
60043,21278,703,24,16,52,0
51674,1437,714,12,2,52,0
69952,12103,671,12,19,41,0
62975,17063,727,12,2,25,0
17790,40447,433,12,3,31,1
37654,40947,511,24,7,43,1
38811,34901,576,36,4,28,1
16629,38500,467,12,11,26,1
53004,18321,664,48,7,48,0
16118,50000,396,24,18,33,1
10000,37919,494,60,12,18,1
19283,46187,445,60,5,18,1
51682,7818,666,48,2,43,0
13751,49882,516,48,17,18,1
56631,10597,680,36,13,40,0
55715,16578,709,12,9,30,0
61415,11154,642,24,0,40,0
71157,6688,652,60,1,38,0
12074,39477,500,60,14,25,1
53772,16785,695,48,19,30,0
18270,36813,412,12,14,29,1
31727,40016,522,60,7,26,1
62327,19701,715,36,0,34,0
10000,40897,521,48,8,32,1
64840,22308,615,36,4,23,0
40103,18304,735,60,1,23,0
51267,15850,669,12,13,43,0
73476,17100,712,24,14,23,0
73119,12616,621,60,5,37,0
62888,8356,653,48,19,32,0
60148,14643,812,60,19,39,0
62990,11070,673,24,19,36,0
53370,19158,711,24,10,37,0
17906,35451,532,24,9,21,1
62356,15062,672,36,12,44,0
