type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,errorBalanceOrig,errorBalanceDest,balanceChangeOrig,balanceChangeDest,is_orig_bal_zero,is_dest_bal_zero,isFraud
1,39342.59,39342.59,0.0,0.0,0.0,0.0,39342.59,39342.59,0.0,0,1,1.0
0,153286.96,0.0,0.0,385178.35,538465.31,153286.96,-1.1641532182693479e-10,0.0,153286.96000000008,1,0,0.0
1,147649.37,147649.37,0.0,0.0,0.0,0.0,147649.37,147649.37,0.0,0,1,1.0
0,1631640.02,1631640.02,0.0,705298.87,2336938.89,0.0,0.0,1631640.02,1631640.02,0,0,1.0
0,53915.89,52103.0,0.0,0.0,53915.89,1812.8899999999996,0.0,52103.0,53915.89,0,1,0.0
0,20128.0,20128.0,0.0,6268.0,12145.85,0.0,14250.15,20128.0,5877.85,0,0,1.0
0,3723738.06,3723738.06,0.0,3216391.21,6940129.27,0.0,0.0,3723738.06,3723738.06,0,0,1.0
0,59049.22,11417.0,0.0,5562633.86,5621683.08,47632.22,0.0,11417.0,59049.21999999974,0,0,0.0
0,19726.26,0.0,0.0,762066.48,781792.75,19726.26,-0.0100000000093132,0.0,19726.27000000002,1,0,0.0
0,18338.25,0.0,0.0,108005.67,126343.92,18338.25,0.0,0.0,18338.25,1,0,0.0
1,238717.5,238717.5,0.0,0.0,0.0,0.0,238717.5,238717.5,0.0,0,1,1.0
1,2460110.25,2460110.25,0.0,0.0,0.0,0.0,2460110.25,2460110.25,0.0,0,1,1.0
0,190529.71,86128.77,0.0,175904.36,626902.19,104400.94,-260468.12,86128.77,450997.83,0,0,0.0
0,1812161.42,1812161.42,0.0,0.0,1812161.42,0.0,0.0,1812161.42,1812161.42,0,1,1.0
1,53782.87,53782.87,0.0,0.0,0.0,0.0,53782.87,53782.87,0.0,0,1,1.0
1,1639130.87,0.0,0.0,2420256.5,4059387.38,1639130.87,-0.0099999997764825,0.0,1639130.88,1,0,0.0
0,366195.92,11959.0,0.0,0.0,366195.92,354236.92,0.0,11959.0,366195.92,0,1,0.0
0,301977.55,11828.0,0.0,178615.85,480593.4,290149.55,0.0,11828.0,301977.55000000005,0,0,0.0
0,132943.98,132943.98,0.0,0.0,132943.98,0.0,0.0,132943.98,132943.98,0,1,1.0
1,156177.21,501622.0,345444.79,80122.0,236299.21,0.0,0.0,156177.21000000002,156177.21,0,0,0.0
1,379057.93,379057.93,0.0,0.0,0.0,0.0,379057.93,379057.93,0.0,0,1,1.0
1,2947783.87,2947783.87,0.0,0.0,0.0,0.0,2947783.87,2947783.87,0.0,0,1,1.0
0,115466.49,46098.0,0.0,0.0,115466.49,69368.49,0.0,46098.0,115466.49,0,1,0.0
0,170.0,170.0,0.0,413421.36,345764.15,0.0,67827.20999999996,170.0,-67657.20999999996,0,0,1.0
1,5624.02,5624.02,0.0,0.0,0.0,0.0,5624.02,5624.02,0.0,0,1,1.0
1,253498.36,253498.36,0.0,0.0,0.0,0.0,253498.36,253498.36,0.0,0,1,1.0
0,72446.38,0.0,0.0,1530947.81,1603394.18,72446.38,0.0100000000093132,0.0,72446.36999999988,1,0,0.0
0,54235.7,54235.7,0.0,0.0,54235.7,0.0,0.0,54235.7,54235.7,0,1,1.0
1,268762.37,268762.37,0.0,0.0,0.0,0.0,268762.37,268762.37,0.0,0,1,1.0
0,32877.15,119844.0,86966.85,214039.64,246916.79,0.0,0.0,32877.149999999994,32877.149999999994,0,0,0.0
0,31358.72,31358.72,0.0,420767.03,452125.75,0.0,0.0,31358.72,31358.71999999997,0,0,1.0
1,340856.02,0.0,0.0,2201703.98,2542560.0,340856.02,0.0,0.0,340856.02,1,0,0.0
0,120232.13,120232.13,0.0,2419860.01,2540092.14,0.0,-4.656612873077393e-10,120232.13,120232.13000000035,0,0,1.0
0,766631.82,766631.82,0.0,0.0,766631.82,0.0,0.0,766631.82,766631.82,0,1,1.0
0,153589.28,1106.0,0.0,1397776.93,1579902.28,152483.28,-28536.070000000065,1106.0,182125.3500000001,0,0,0.0
0,106816.29,14718.0,0.0,0.0,106816.29,92098.29,0.0,14718.0,106816.29,0,1,0.0
0,115461.48,115461.48,0.0,21619.28,137080.75,0.0,0.0100000000093132,115461.48,115461.47,0,0,1.0
1,128718.59,128718.59,0.0,0.0,0.0,0.0,128718.59,128718.59,0.0,0,1,1.0
1,8097183.22,8097183.22,0.0,0.0,0.0,0.0,8097183.22,8097183.22,0.0,0,1,1.0
1,5715004.3,5715004.3,0.0,0.0,0.0,0.0,5715004.3,5715004.3,0.0,0,1,1.0
1,561149.9,561149.9,0.0,0.0,0.0,0.0,561149.9,561149.9,0.0,0,1,1.0
0,4574246.75,4574246.75,0.0,0.0,4574246.75,0.0,0.0,4574246.75,4574246.75,0,1,1.0
1,1049232.11,1049232.11,0.0,0.0,0.0,0.0,1049232.11,1049232.11,0.0,0,1,1.0
0,113430.7,0.0,0.0,1069277.18,1182707.88,113430.7,0.0,0.0,113430.69999999995,1,0,0.0
